coo	count	median	mean	std
ABC	50	4.310967876615518	4.059065689974685	1.2429022404564345
GCB	34	4.193708862622995	4.170394518335876	1.2721766604306746
Type_3	27	4.244788693897805	4.311451259682358	0.7159996880449715
