gene	spearman_rho_with_isg_score	p_value
IFI16	0.5637241137241137	1.1798940660440767e-10
AIM2	0.3009301509301509	0.0013304039831441331
MNDA	0.5399644605647471	9.600309171741397e-10
PYHIN1	0.4665713107525259	2.451377453543501e-07
