gene	ABC_median	GCB_median	difference_ABC_minus_GCB	p_value
IFI16	7.163828291243689	6.864262289891274	0.2995660013524155	0.5751769864418825
AIM2	5.411027255338912	5.695741509138895	-0.28471425379998383	0.556678507649937
MNDA	4.24309855557831	2.5938499256251646	1.6492486299531457	0.0007843071541672963
PYHIN1	3.002850685803609	3.1305273136096	-0.12767662780599087	0.2642710208726985
