gene
AIM2
CXCL11
DDX58
IFI16
IFI27
IFI44
IFI44L
IFIT1
IFIT2
IFIT3
IRF9
MNDA
MX1
MX2
OAS1
OAS2
OAS3
PYHIN1
RSAD2
STAT1
STAT2
